wavelength_nm,importance_psi,importance_delta,importance_total
376,0.00028261551553123506,0.000830475864690784,0.001113091380222019
377,6.604882125979654e-05,0.000142035221004232,0.00020808404226402852
378,1.956396408189562e-05,2.8571922477312112e-05,4.813588655920773e-05
379,0.0002843808304387174,0.0008196900648139632,0.0011040708952526805
380,7.217077443483822e-05,0.00042404285418039625,0.0004962136286152344
381,2.5356863527605764e-05,0.000373928989443343,0.00039928585297094874
382,0.0012355598835122816,0.00023492545444261766,0.0014704853379548992
383,2.868300078739362e-05,0.0001504228937849128,0.0001791058945723064
384,6.441061270656118e-06,5.3391897304950426e-05,5.9832958575606545e-05
385,1.4631285960592248e-05,0.00010040795731743803,0.00011503924327803027
386,1.4320491965498223e-05,0.00020976266703205953,0.00022408315899755774
387,0.00038283682422857683,0.00025053976863212,0.0006333765928606969
388,0.0001422188297927952,0.00010108468153581778,0.000243303511328613
389,8.179934905643029e-05,0.00019171689659166203,0.0002735162456480923
390,9.833559706899014e-05,0.001611762500727152,0.0017100980977961422
391,8.279423295966681e-05,0.0009310342003207739,0.0010138284332804406
392,0.0015532853714476734,0.0009000481126314085,0.0024533334840790818
393,0.0003838210212304467,0.001635560804894331,0.0020193818261247777
394,0.005447295874254576,0.0007893607788875,0.006236656653142076
395,0.0012049524599838809,0.00022032125765045706,0.001425273717634338
396,0.0007205924502840581,4.849248910139461e-05,0.0007690849393854527
397,0.005984693278887628,0.00045278964407007916,0.006437482922957707
398,0.004755884150945867,0.00039861384700444334,0.00515449799795031
399,0.0005786546526312772,0.000501816065290297,0.0010804707179215742
400,0.0012081178604988715,0.00036342495753055517,0.0015715428180294267
401,0.0004969090150238223,0.0004897717978838742,0.0009866808129076964
402,0.00029424750411865196,0.0001613660632830469,0.00045561356740169887
403,0.00028127948672999724,0.0002769050249461563,0.0005581845116761535
404,0.0004788545925411683,0.0009183112159698803,0.0013971658085110486
405,0.00029304921426919503,0.0010759372304859458,0.0013689864447551407
406,6.81191286824007e-05,0.00043224728165689336,0.000500366410339294
407,6.086415900733753e-05,2.7579705868773345e-05,8.844386487611087e-05
408,0.0007623585131530343,5.253132598201232e-05,0.0008148898391350466
409,9.910065596429331e-05,4.065601961282099e-06,0.00010316625792557541
410,0.00016259541361217128,0.0001398152772241748,0.00030241069083634606
411,0.0002918984065351243,0.0018814670702832603,0.0021733654768183847
412,4.9408469170704096e-05,0.00038351653809224153,0.00043292500726294564
413,0.00023152723691569088,1.196410499125375e-05,0.00024349134190694463
414,0.0005273151264177369,0.0005838966300017786,0.0011112117564195155
415,4.3877093913711e-05,0.0003422070982987822,0.00038608419221249323
416,0.00047326747481412203,0.00039072880532698404,0.0008639962801411061
417,0.0012105058897190523,0.00032455066139437617,0.0015350565511134285
418,0.00306413382787405,3.4826298530859357e-05,0.003098960126404909
419,0.0023601967074231454,0.000797963656966183,0.0031581603643893283
420,0.0017359851690025908,4.6127148207657824e-05,0.0017821123172102487
421,0.003234205909972686,0.0007080786425059972,0.003942284552478683
422,0.001975359922759039,5.273741919271021e-05,0.0020280973419517494
423,0.0007062114274908098,8.30436870560045e-05,0.0007892551145468143
424,0.001966857850172305,2.4431610807783987e-05,0.001991289460980089
425,4.367421279669228e-05,0.00021541057053957156,0.00025908478333626383
426,0.0017126288122358278,1.1601366188226797e-05,0.0017242301784240546
427,9.863320948027896e-05,0.00019966877563875186,0.00029830198511903084
428,7.668007439392475e-05,2.9081707347576825e-05,0.00010576178174150158
429,0.0007173744576327381,0.0001131506730293096,0.0008305251306620477
430,0.0008865342604263936,3.13087656372196e-05,0.0009178430260636132
431,0.0038333131690360895,2.2973338411238236e-05,0.0038562865074473276
432,0.0028716569628935425,0.0002156107021000833,0.0030872676649936256
433,0.0042201209798811735,2.151716417685477e-05,0.004241638144058028
434,0.0052246803693462495,2.262102489968276e-05,0.005247301394245932
435,0.0029758203526738984,3.580744422955003e-06,0.0029794010970968536
436,0.008674095000821983,2.9826855574673583e-05,0.008703921856396657
437,0.002631045572606265,3.733576504260634e-05,0.0026683813376488716
438,0.00736980996200548,4.2225656944441646e-05,0.007412035618949922
439,0.0014024277777945934,3.026631459549138e-05,0.0014326940923900847
