wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
420,Linear Regression,1057.3329,594.4281,31.5159,8.0049,19.2586,2.8988,-2.8219,2.3804
420,Random Forest,3.7953,1.1281,1.9246,0.3021,1.3041,0.1494,0.9866,0.004
420,MLP,2.6884,0.9484,1.6094,0.3134,1.0144,0.1575,0.9906,0.0033
415,Linear Regression,823.8957,401.4709,27.94,6.5766,16.7903,2.9783,-2.0063,1.6477
415,Random Forest,4.2664,1.4281,2.0324,0.3684,1.3096,0.1784,0.985,0.005
415,MLP,2.1959,0.6475,1.4647,0.2246,0.9191,0.0917,0.9922,0.0024
410,Linear Regression,752.9795,397.691,26.5148,7.0673,17.2676,3.4282,-1.7713,1.6164
410,Random Forest,4.3246,0.9717,2.0657,0.2393,1.3499,0.1115,0.9847,0.0037
410,MLP,3.2632,1.4442,1.7548,0.4289,1.1452,0.3044,0.9886,0.005
405,Linear Regression,1387.4149,450.3624,36.8201,5.6302,21.9218,2.6881,-4.0056,1.9355
405,Random Forest,4.2724,1.0921,2.0492,0.2705,1.3276,0.1338,0.9848,0.0043
405,MLP,4.7464,2.0121,2.1054,0.5603,1.4317,0.4088,0.9833,0.0074
400,Linear Regression,795.0666,429.5996,27.289,7.0977,16.2667,3.708,-1.9178,1.7426
400,Random Forest,3.9959,1.4817,1.9652,0.3661,1.3074,0.1517,0.9858,0.0054
400,MLP,2.7593,1.2092,1.6255,0.3424,1.0619,0.1325,0.9905,0.0033
395,Linear Regression,640.7926,382.0671,24.4499,6.5569,14.8571,2.1377,-1.3234,1.529
395,Random Forest,3.9227,1.0458,1.9591,0.2907,1.3282,0.1672,0.9862,0.0038
395,MLP,4.1289,2.2767,1.9603,0.535,1.2986,0.3717,0.9851,0.0091
390,Linear Regression,1269.8265,526.0346,34.9952,6.7202,20.4308,3.4799,-3.609,2.1998
390,Random Forest,3.9418,1.1617,1.9615,0.3072,1.2996,0.142,0.9861,0.0041
390,MLP,2.6505,1.4095,1.5694,0.4332,1.0057,0.2159,0.9909,0.0043
385,Linear Regression,892.459,627.7187,28.4517,9.1081,17.5208,4.0879,-2.2491,2.4852
385,Random Forest,3.6492,1.1188,1.8876,0.2936,1.2741,0.1539,0.9871,0.0039
385,MLP,3.4687,2.2633,1.7732,0.5698,1.193,0.295,0.9883,0.0065
380,Linear Regression,950.9119,384.9841,30.2196,6.1391,18.1477,3.0452,-2.4056,1.5301
380,Random Forest,3.9658,1.1544,1.9689,0.2984,1.3093,0.1388,0.986,0.004
380,MLP,5.3221,3.2489,2.2127,0.6528,1.506,0.3963,0.9819,0.0093
375,Linear Regression,1018.4085,333.0087,31.5504,4.7941,19.0392,1.9426,-2.6582,1.4047
375,Random Forest,3.871,1.0994,1.9457,0.2921,1.2856,0.1258,0.9863,0.004
375,MLP,4.4389,2.8374,1.9959,0.6746,1.388,0.5891,0.9843,0.0101
370,Linear Regression,1455.9387,731.2468,37.1747,8.601,21.7822,4.3827,-4.294,2.9869
370,Random Forest,3.7138,0.9074,1.9101,0.2559,1.3088,0.1435,0.9869,0.0032
370,MLP,2.9832,1.4498,1.6651,0.4591,1.0959,0.2872,0.9894,0.0055
365,Linear Regression,1167.8019,893.8124,32.2972,11.1666,19.4851,4.6369,-3.2771,3.5306
365,Random Forest,3.902,1.3092,1.9431,0.3553,1.2934,0.1904,0.9862,0.0048
365,MLP,3.4965,2.0951,1.7716,0.5981,1.1737,0.3324,0.9877,0.0076
360,Linear Regression,887.4822,267.7537,29.4418,4.5458,17.7796,2.4144,-2.2102,1.1553
360,Random Forest,3.9422,1.0384,1.9665,0.2743,1.3003,0.13,0.9861,0.0038
360,MLP,2.4351,0.807,1.532,0.2966,1.0114,0.1737,0.9914,0.0029
355,Linear Regression,1312.3658,707.1273,35.1649,8.7062,20.3989,3.716,-3.7809,2.8542
355,Random Forest,4.3589,1.4407,2.0557,0.3646,1.3625,0.1819,0.9845,0.0055
355,MLP,2.9278,1.617,1.6302,0.52,1.0805,0.3474,0.9899,0.0053
350,Linear Regression,1244.4974,463.9656,34.704,6.335,19.3781,2.9276,-3.4663,1.8957
350,Random Forest,4.2236,1.425,2.0249,0.3515,1.3451,0.1485,0.985,0.0054
350,MLP,2.1093,0.9007,1.4136,0.3331,0.911,0.1508,0.9927,0.0028
345,Linear Regression,1055.3332,661.0175,31.2427,8.901,18.9566,3.5261,-2.828,2.6317
345,Random Forest,3.6763,0.9486,1.9002,0.256,1.3053,0.1515,0.9871,0.0032
345,MLP,1.9686,0.9026,1.3656,0.3221,0.9297,0.1928,0.9931,0.0031
340,Linear Regression,1209.5112,312.0281,34.4674,4.6378,19.8806,2.6135,-3.3672,1.3949
340,Random Forest,3.7494,1.1381,1.9134,0.297,1.281,0.1257,0.9867,0.0042
340,MLP,3.1256,2.5773,1.6578,0.6142,1.0765,0.3239,0.9896,0.0074
335,Linear Regression,1949.1133,863.7529,43.1876,9.162,24.5895,4.7803,-6.0863,3.5866
335,Random Forest,3.9009,1.3741,1.9446,0.3456,1.3197,0.1768,0.9862,0.0049
335,MLP,3.4008,2.1217,1.7411,0.6079,1.1856,0.4446,0.9884,0.0066
330,Linear Regression,1710.7013,776.4746,40.3569,9.0565,23.1779,4.6336,-5.1752,3.1478
330,Random Forest,4.8174,1.3742,2.1721,0.3154,1.3966,0.1572,0.9828,0.0055
330,MLP,4.2211,2.697,1.9423,0.6698,1.2517,0.4363,0.9857,0.0083
325,Linear Regression,1222.0418,556.581,33.9895,8.1704,19.4087,3.6711,-3.405,2.2231
325,Random Forest,4.7143,1.5623,2.1404,0.3645,1.3835,0.1702,0.9832,0.0059
325,MLP,2.3272,0.7595,1.5049,0.2499,0.9975,0.1217,0.9919,0.0023
320,Linear Regression,1596.583,668.6396,39.167,7.9076,21.4934,3.1069,-4.7336,2.6993
