wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
470,MLP,2.952,2.0235,1.6247,0.5588,1.1092,0.406,0.99,0.006
465,Linear Regression,50855.2743,36658.4915,212.325,75.9826,132.8589,50.6675,-186.8857,146.0236
465,Random Forest,3.5934,0.8379,1.8834,0.2147,1.1724,0.1093,0.9872,0.0033
465,MLP,2.4297,1.2327,1.5022,0.4161,1.0238,0.2689,0.9915,0.0042
460,Linear Regression,32267.2077,18277.9918,173.8998,45.0118,111.9445,33.1395,-116.0317,73.5835
460,Random Forest,3.311,0.9719,1.8009,0.2604,1.1325,0.106,0.9882,0.0038
460,MLP,2.837,2.4613,1.5417,0.6784,1.0707,0.5192,0.9898,0.0095
455,Linear Regression,54812.4834,28611.7384,224.993,64.7351,134.8498,38.7263,-198.9872,115.945
455,Random Forest,3.621,0.8728,1.8895,0.2251,1.1523,0.0766,0.987,0.0036
455,MLP,3.4639,2.2069,1.7536,0.6236,1.1772,0.5052,0.988,0.0074
450,Linear Regression,59737.853,45074.4077,228.4162,86.9706,141.6216,55.5161,-217.3566,177.1936
450,Random Forest,3.6474,0.8406,1.898,0.2125,1.1581,0.0828,0.987,0.0033
450,MLP,6.9289,6.2436,2.3818,1.1206,1.689,0.9115,0.9771,0.0184
445,Linear Regression,62870.548,31209.1032,242.0352,65.4945,151.9988,43.2879,-227.4551,126.543
445,Random Forest,3.6268,0.9044,1.8903,0.2317,1.1658,0.0956,0.9871,0.0035
445,MLP,2.6041,0.9301,1.5827,0.3151,1.0715,0.1484,0.991,0.0028
440,Linear Regression,84924.5784,50116.997,278.0156,87.3609,170.8074,47.7561,-309.2153,200.9933
440,Random Forest,3.6907,1.4014,1.892,0.3332,1.1702,0.1169,0.9869,0.0051
440,MLP,2.6229,1.2273,1.563,0.424,1.061,0.2728,0.9907,0.0047
435,Linear Regression,70136.8812,49573.7132,252.6293,79.4689,153.549,58.4358,-255.6281,197.5935
435,Random Forest,3.6062,0.9782,1.8836,0.2412,1.1669,0.0925,0.9872,0.0037
435,MLP,2.7726,1.5374,1.5908,0.492,1.0616,0.3102,0.9905,0.0046
430,Linear Regression,60493.9868,52626.072,228.8715,90.0656,140.6107,56.3091,-222.6874,207.4368
430,Random Forest,3.6023,0.9566,1.8825,0.2421,1.151,0.0947,0.9871,0.0037
430,MLP,2.4566,0.9553,1.5347,0.3185,0.9361,0.1397,0.9914,0.0032
425,Linear Regression,60172.2992,29741.5258,238.6359,56.791,144.0437,39.4262,-217.2115,121.0824
425,Random Forest,3.8743,1.0796,1.9512,0.2592,1.1663,0.0802,0.9861,0.0042
425,MLP,2.3127,1.211,1.4633,0.4142,0.9576,0.312,0.9919,0.0041
420,Linear Regression,144424.8388,98859.2789,357.8913,127.8228,216.5686,85.2132,-529.8522,393.7446
420,Random Forest,4.0054,1.208,1.9795,0.2951,1.1901,0.1092,0.9856,0.0048
420,MLP,2.4181,0.9289,1.5211,0.3229,0.9753,0.1448,0.9916,0.003
415,Linear Regression,91197.382,53391.0155,288.6866,88.6423,166.8287,47.9793,-333.1725,215.276
415,Random Forest,3.7923,0.9023,1.9337,0.2307,1.176,0.0988,0.9864,0.0038
415,MLP,3.2515,1.9611,1.7384,0.4791,1.1804,0.3561,0.9889,0.0055
410,Linear Regression,60446.1685,23398.5298,241.6154,45.4773,143.4068,31.9335,-215.9008,94.7364
410,Random Forest,4.052,1.2677,1.9905,0.2998,1.1799,0.1055,0.9855,0.0049
410,MLP,2.6697,1.0359,1.5915,0.3697,1.0054,0.2364,0.9907,0.0034
405,Linear Regression,116079.4592,62314.4398,331.1362,80.1767,198.5142,61.1172,-418.6613,251.4759
405,Random Forest,3.6125,1.1062,1.8794,0.2834,1.155,0.1039,0.987,0.0043
405,MLP,4.4474,1.9574,2.0374,0.5446,1.3847,0.3668,0.9843,0.0073
400,Linear Regression,110659.3789,61106.4989,318.6509,95.5038,176.4776,41.8499,-405.4752,247.4818
400,Random Forest,3.3047,0.7667,1.806,0.2076,1.1226,0.0974,0.9882,0.0031
400,MLP,2.5924,1.32,1.5669,0.3704,1.0481,0.1619,0.9911,0.0036
395,Linear Regression,119321.5898,42585.8991,340.4582,58.3936,192.9299,44.6049,-430.6326,181.9165
395,Random Forest,3.4868,0.4365,1.8637,0.1162,1.1556,0.0926,0.9876,0.0021
395,MLP,3.9071,2.0722,1.9033,0.5333,1.2892,0.3371,0.9861,0.0081
390,Linear Regression,134381.245,68646.715,354.9669,91.541,203.0855,63.5754,-490.33,280.4992
390,Random Forest,3.2782,0.8467,1.7953,0.2348,1.1181,0.1127,0.9884,0.0032
390,MLP,2.4064,1.3709,1.4882,0.4378,0.9469,0.2434,0.9918,0.004
385,Linear Regression,145594.7087,69075.1879,366.3075,106.834,214.817,69.0681,-529.2063,276.9119
385,Random Forest,3.3661,0.9517,1.8178,0.2482,1.1435,0.0929,0.988,0.0036
385,MLP,4.3326,2.6228,1.9553,0.7137,1.3673,0.4715,0.9853,0.0082
380,Linear Regression,127995.9756,65887.9919,346.3209,89.7652,203.2865,49.4939,-457.3653,256.2943
380,Random Forest,3.527,0.7601,1.8675,0.1983,1.1678,0.0987,0.9874,0.0031
380,MLP,5.1349,3.4817,2.1512,0.7124,1.4607,0.4474,0.9826,0.0101
375,Linear Regression,183472.7913,100501.3462,415.0338,105.9232,225.2423,61.0606,-669.4655,407.1716
375,Random Forest,3.3515,0.6106,1.8233,0.1648,1.1314,0.0653,0.988,0.0027
375,MLP,3.6932,2.908,1.7729,0.7417,1.2461,0.6192,0.987,0.0103
370,Linear Regression,143026.5248,60318.2659,369.6593,79.8657,211.5314,59.5054,-519.3875,252.5546
370,Random Forest,3.4032,0.9127,1.83,0.2328,1.152,0.0805,0.9879,0.0035
370,MLP,2.1482,0.7194,1.4382,0.2823,0.9161,0.1595,0.9925,0.0022
365,Linear Regression,218704.3247,35492.4668,465.977,39.6206,245.8734,32.0488,-780.1995,164.6729
365,Random Forest,3.3179,0.844,1.8057,0.2398,1.1437,0.1078,0.9882,0.0033
365,MLP,2.4023,1.2793,1.4978,0.3988,0.9208,0.1452,0.9914,0.005
360,Linear Regression,231819.9658,110447.6313,470.3424,102.9466,240.2516,71.6743,-833.0178,446.6826
360,Random Forest,3.3035,0.7033,1.8075,0.1907,1.1284,0.0779,0.9882,0.0029
