n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
35,175,Random Forest,21.0191,12.4198,4.3193,1.5372,2.6565,0.8164,0.9331,0.041
35,175,MLP,114.8058,136.4964,8.3443,6.7214,6.2098,5.1664,0.6522,0.4158
34,170,Linear Regression,2801.4514,2025.8023,50.0499,17.218,33.4395,11.1801,-8.486,6.312
34,170,Random Forest,15.2508,7.4637,3.762,1.0481,2.3837,0.4644,0.9494,0.0232
34,170,MLP,49.8102,73.3758,5.5315,4.3832,4.1321,3.4249,0.8283,0.2613
33,165,Linear Regression,2270.3234,998.2863,46.4892,10.444,30.0825,8.8324,-6.1669,3.6226
33,165,Random Forest,17.8028,8.5832,4.0973,1.0075,2.6267,0.5803,0.9468,0.021
33,165,MLP,14.8189,10.9909,3.6118,1.3317,2.7947,1.2586,0.9557,0.029
32,160,Linear Regression,5723.299,2939.569,72.524,21.5308,37.3615,9.7353,-16.5884,10.4106
32,160,Random Forest,17.8592,13.7686,3.9559,1.4865,2.5796,0.7999,0.9504,0.0315
32,160,MLP,13.2021,12.0759,3.1925,1.7349,2.2153,1.2102,0.962,0.0354
31,155,Linear Regression,3160.3807,1388.6596,54.7831,12.6171,33.67,5.3561,-8.6096,4.0612
31,155,Random Forest,15.6083,8.8631,3.7562,1.2245,2.3662,0.5012,0.955,0.023
31,155,MLP,115.2252,182.524,8.1344,7.004,6.4435,5.7405,0.6962,0.4541
30,150,Linear Regression,2685.5151,675.3691,51.445,6.2394,32.472,7.9071,-7.431,1.9766
30,150,Random Forest,11.6534,6.3703,3.3018,0.867,2.3309,0.44,0.9653,0.0124
30,150,MLP,12.0426,6.7993,3.3211,1.0065,2.7133,0.9483,0.9605,0.0265
29,145,Linear Regression,1295.0861,712.2173,34.6406,9.7528,25.3044,5.8854,-2.5435,1.6098
29,145,Random Forest,16.009,8.3583,3.8207,1.1878,2.6966,0.6714,0.9556,0.0212
29,145,MLP,42.5263,28.6216,5.977,2.6079,4.6261,2.3388,0.8728,0.0917
28,140,Linear Regression,2320.6075,1117.3184,46.8039,11.4018,28.818,5.7763,-6.0282,2.4972
28,140,Random Forest,26.333,23.4488,4.6241,2.225,3.1321,1.2551,0.9099,0.0973
28,140,MLP,45.1452,57.6887,5.716,3.5317,4.4214,2.5351,0.8359,0.2363
27,135,Linear Regression,573.7324,175.4465,23.6548,3.766,16.4367,2.6169,-0.9711,0.7408
27,135,Random Forest,27.9828,23.5128,4.751,2.3262,3.0596,1.2564,0.9041,0.0887
27,135,MLP,39.6584,39.9954,5.5152,3.0398,4.2857,2.6228,0.8458,0.1696
26,130,Linear Regression,2142.6013,363.7148,46.118,3.9667,29.4497,1.9797,-5.676,1.3318
26,130,Random Forest,20.9865,25.9513,3.9453,2.3283,2.7747,1.4488,0.9396,0.0709
26,130,MLP,14.4392,8.3597,3.6381,1.0969,2.8443,0.9132,0.9562,0.0229
25,125,Linear Regression,885.3497,828.5359,27.2919,11.8534,20.2138,7.6163,-2.319,3.2011
25,125,Random Forest,17.3287,7.0288,4.074,0.8552,2.817,0.3729,0.9377,0.0249
25,125,MLP,20.1587,16.9663,4.0729,1.8895,3.2486,1.6468,0.9252,0.0639
24,120,Linear Regression,408.4508,185.7234,19.7267,4.394,14.2484,3.4201,-0.5,0.8833
24,120,Random Forest,12.6243,11.3106,3.2753,1.3771,2.3954,0.8707,0.9568,0.0346
24,120,MLP,129.5657,172.2446,9.1498,6.771,6.9549,4.8931,0.5648,0.5321
23,115,Linear Regression,517.519,288.8975,21.9342,6.034,15.2467,3.9141,-0.8235,0.9541
23,115,Random Forest,21.2345,7.2164,4.539,0.7952,3.0851,0.3813,0.926,0.025
23,115,MLP,158.8207,176.7852,10.7263,6.6157,8.2537,5.1862,0.399,0.7158
22,110,Linear Regression,464.8902,240.123,20.7761,5.7657,15.3135,4.1833,-0.5118,0.6269
22,110,Random Forest,36.4557,26.7744,5.7,1.9913,3.7265,0.7339,0.8839,0.0678
22,110,MLP,43.6098,43.6738,5.8059,3.1466,4.113,2.2157,0.853,0.1528
21,105,Linear Regression,312.5473,59.0659,17.6023,1.645,12.0697,1.3949,-0.1043,0.2374
21,105,Random Forest,24.1196,13.5631,4.6747,1.5056,3.4409,1.051,0.9167,0.0432
21,105,MLP,141.9329,154.7536,10.2134,6.1334,8.2391,5.1314,0.5229,0.4941
