wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
360,Linear Regression,168560.3001,96276.8459,394.4968,113.7214,229.7784,70.0747,-602.7153,371.5409
360,Random Forest,3.5405,0.8426,1.8685,0.2222,1.1586,0.086,0.9873,0.0036
360,MLP,2.9419,1.3507,1.6472,0.4782,1.1192,0.3123,0.9898,0.0045
355,Linear Regression,180644.9924,69038.5669,417.3139,80.5861,226.688,46.4525,-642.5893,265.7015
355,Random Forest,3.4777,0.9289,1.8493,0.2405,1.1601,0.1027,0.9876,0.0036
355,MLP,2.4557,1.119,1.5189,0.3855,0.942,0.2264,0.9913,0.0041
350,Linear Regression,134673.9369,23650.1396,365.5137,32.7675,202.1827,29.0049,-476.1301,92.4368
350,Random Forest,3.6289,0.8797,1.8914,0.2267,1.179,0.1143,0.987,0.0036
350,MLP,2.0578,0.5826,1.4198,0.2048,0.942,0.0944,0.9928,0.0016
345,Linear Regression,228592.0682,130068.3901,462.2947,121.9658,253.9474,69.1894,-832.5288,525.7069
345,Random Forest,3.4827,0.6953,1.8573,0.1817,1.1673,0.1008,0.9876,0.0028
345,MLP,3.6397,3.4372,1.7245,0.8159,1.1546,0.5301,0.9879,0.0103
340,Linear Regression,193375.6996,104396.4096,422.4179,122.2246,225.8678,55.8179,-678.4397,370.7032
340,Random Forest,3.5085,0.8548,1.8603,0.2185,1.1538,0.0821,0.9875,0.0034
340,MLP,2.915,2.5099,1.5937,0.6123,1.0176,0.3516,0.9903,0.0072
335,Linear Regression,250749.9293,185519.1666,475.1697,157.9989,256.8705,93.1732,-912.149,735.4056
335,Random Forest,3.6002,0.862,1.8848,0.2187,1.1685,0.0941,0.9871,0.0035
335,MLP,3.2272,2.1301,1.6946,0.5961,1.1795,0.4535,0.9891,0.0065
330,Linear Regression,203305.1674,64092.2307,444.9771,72.8046,237.4049,52.4321,-738.4147,280.5227
330,Random Forest,3.5102,1.0665,1.8539,0.2705,1.1426,0.1036,0.9875,0.0041
330,MLP,4.5198,2.7801,1.9988,0.7242,1.3575,0.543,0.9844,0.0091
325,Linear Regression,290596.6227,134607.3418,522.5033,132.6157,285.9107,84.2153,-1045.1614,531.2378
325,Random Forest,3.6671,0.8095,1.9042,0.2031,1.1702,0.0838,0.9869,0.0033
325,MLP,2.6407,1.6698,1.5607,0.4527,1.0257,0.2324,0.9911,0.0047
320,Linear Regression,280308.392,143171.6897,507.0423,152.3697,260.881,79.3013,-988.6057,515.5401
320,Random Forest,3.5938,0.8147,1.8839,0.2113,1.1752,0.1199,0.9871,0.0035
320,MLP,2.6259,1.3418,1.5658,0.4172,1.0014,0.3027,0.9906,0.005
315,Linear Regression,195907.1409,101443.8031,430.1163,104.4371,228.6622,60.0478,-697.7598,357.847
315,Random Forest,3.6185,0.7532,1.8927,0.1905,1.1731,0.0764,0.9871,0.0031
315,MLP,4.1161,1.8558,1.9618,0.5173,1.3306,0.407,0.9854,0.0071
310,Linear Regression,210036.0786,75019.2505,452.0027,75.6942,216.2091,61.7134,-752.515,310.8049
310,Random Forest,3.8759,1.2376,1.9457,0.3003,1.1912,0.1146,0.9861,0.0047
310,MLP,3.0196,2.381,1.6279,0.608,1.0278,0.359,0.9898,0.007
305,Linear Regression,356449.1923,97117.3779,591.0069,84.6173,316.3041,67.2879,-1291.5512,433.852
305,Random Forest,3.7918,1.1211,1.9275,0.2766,1.1669,0.0921,0.9864,0.0044
305,MLP,4.5689,3.0134,2.0004,0.7532,1.3261,0.5687,0.9839,0.0111
300,Linear Regression,340951.8205,172062.1259,567.3529,138.067,289.525,71.1025,-1221.1265,675.8231
300,Random Forest,3.966,1.1655,1.9721,0.2775,1.2042,0.1075,0.9858,0.0045
300,MLP,3.9455,1.8004,1.9117,0.5393,1.2805,0.3152,0.9861,0.0067
295,Linear Regression,292028.5899,73532.9587,535.9739,68.997,278.0634,38.8151,-1026.4848,244.2013
295,Random Forest,4.0742,1.1165,2.0009,0.266,1.1827,0.0922,0.9854,0.0044
295,MLP,2.232,0.8688,1.4624,0.3054,0.9733,0.1281,0.9921,0.0034
290,Linear Regression,370206.7818,36503.8967,607.6936,30.2544,312.1823,26.8797,-1323.1527,228.67
290,Random Forest,4.005,1.2237,1.9804,0.2879,1.1791,0.0872,0.9857,0.0047
290,MLP,2.054,0.5051,1.4199,0.1946,0.9032,0.0854,0.9928,0.0016
285,Linear Regression,311757.0643,104786.8462,551.3658,88.0499,293.0428,60.2597,-1120.1177,439.538
285,Random Forest,3.8523,0.8289,1.952,0.2046,1.1685,0.0807,0.9862,0.0034
285,MLP,4.446,3.1818,1.9413,0.823,1.2946,0.5489,0.9848,0.0103
280,Linear Regression,353611.8275,57572.4032,592.6572,48.6746,297.2393,34.7123,-1250.2123,209.0695
280,Random Forest,3.7932,0.9466,1.9332,0.2367,1.1896,0.103,0.9864,0.0039
280,MLP,3.4417,1.9981,1.7696,0.5568,1.2521,0.3505,0.988,0.007
275,Linear Regression,419572.9224,48660.6895,646.6189,38.169,323.0021,22.2898,-1499.541,269.657
275,Random Forest,4.1881,1.345,2.0216,0.3182,1.196,0.0953,0.985,0.0052
275,MLP,4.1095,2.1475,1.9572,0.5279,1.282,0.3971,0.9857,0.007
270,Linear Regression,742535.7842,386301.4102,831.1508,227.4294,371.5041,111.8005,-2646.9864,1486.3968
270,Random Forest,3.6146,0.9971,1.8834,0.2598,1.1743,0.1277,0.9871,0.0039
270,MLP,3.0733,1.49,1.7016,0.4218,1.1174,0.2646,0.9895,0.0043
265,Linear Regression,282341.7246,46288.1892,529.6607,42.4409,256.3285,28.8384,-1004.1947,196.5354
265,Random Forest,3.6975,0.8859,1.9101,0.2215,1.1757,0.0845,0.9868,0.0035
265,MLP,3.2366,0.9766,1.7779,0.2749,1.1816,0.2192,0.9886,0.0034
260,Linear Regression,424600.4286,58474.6199,649.9262,46.8651,303.777,49.9145,-1522.6359,312.027
260,Random Forest,3.6371,0.9779,1.8909,0.2484,1.1666,0.0828,0.987,0.0039
260,MLP,3.8414,2.4709,1.8588,0.6216,1.2372,0.4331,0.9864,0.0092
255,Linear Regression,705496.3049,271613.7755,823.2028,166.8334,407.4772,92.7773,-2544.8866,1049.1386
