wavelength_nm,n,k
415,4.574007042253521,1.920823943661972
416,4.61224647887324,1.9048380281690143
417,4.650485915492958,1.8888521126760565
418,4.688725352112676,1.8728661971830987
419,4.726964788732394,1.8568802816901409
420,4.765204225352113,1.8408943661971833
421,4.803443661971831,1.8249084507042255
422,4.841683098591549,1.8089225352112677
423,4.879922535211267,1.7929366197183099
424,4.918161971830986,1.7769507042253523
425,4.956401408450704,1.7609647887323945
426,4.994640845070422,1.7449788732394367
427,5.03288028169014,1.7289929577464789
428,5.048960784313725,1.6971437908496734
429,5.042882352941176,1.6494313725490197
430,5.036803921568627,1.601718954248366
431,5.030725490196078,1.5540065359477127
432,5.024647058823529,1.506294117647059
433,5.01856862745098,1.4585816993464054
434,5.012490196078431,1.410869281045752
435,5.006411764705882,1.3631568627450983
436,5.000333333333333,1.3154444444444449
437,4.994254901960784,1.2677320261437912
438,4.988176470588235,1.2200196078431378
439,4.9820980392156855,1.1723071895424841
440,4.976019607843137,1.1245947712418305
441,4.969941176470588,1.076882352941177
442,4.963862745098039,1.0291699346405234
443,4.955768292682927,0.9874024390243904
444,4.9396097560975605,0.9694146341463417
445,4.923451219512195,0.9514268292682928
446,4.907292682926829,0.9334390243902441
447,4.8911341463414635,0.9154512195121952
448,4.874975609756097,0.8974634146341464
449,4.858817073170732,0.8794756097560976
450,4.842658536585366,0.8614878048780488
451,4.826499999999999,0.8434999999999999
452,4.810341463414634,0.8255121951219512
453,4.794182926829268,0.8075243902439024
454,4.778024390243902,0.7895365853658536
455,4.761865853658536,0.7715487804878047
456,4.745707317073171,0.7535609756097559
457,4.7295487804878045,0.7355731707317071
458,4.713390243902439,0.7175853658536584
459,4.697231707317073,0.6995975609756095
460,4.684870056497175,0.6889039548022597
461,4.673457627118644,0.6800338983050846
462,4.662045197740113,0.6711638418079094
463,4.650632768361581,0.6622937853107344
464,4.63922033898305,0.6534237288135591
465,4.6278079096045195,0.644553672316384
466,4.616395480225989,0.6356836158192088
467,4.604983050847458,0.6268135593220338
468,4.593570621468927,0.6179435028248585
469,4.582158192090395,0.6090734463276835
470,4.570745762711864,0.6002033898305084
471,4.559333333333333,0.5913333333333332
472,4.547920903954802,0.5824632768361581
473,4.536508474576271,0.5735932203389829
474,4.52509604519774,0.5647231638418078
475,4.513683615819208,0.5558531073446327
476,4.5022711864406775,0.5469830508474575
477,4.491163157894737,0.5384842105263157
478,4.482794736842105,0.5333263157894736
479,4.474426315789474,0.5281684210526315
480,4.466057894736842,0.5230105263157895
481,4.45768947368421,0.5178526315789473
482,4.4493210526315785,0.5126947368421052
483,4.440952631578948,0.5075368421052632
484,4.432584210526316,0.502378947368421
485,4.424215789473684,0.497221052631579
486,4.415847368421053,0.49206315789473687
