wavelength_nm,n,k
727,3.7403,0.00914998
728,3.7392000000000003,0.00908202
729,3.7381,0.00901406
730,3.737,0.0089461
731,3.736,0.00888769
732,3.735,0.00882928
733,3.734,0.00877087
734,3.733,0.00871246
735,3.732,0.00865405
736,3.731,0.00859564
737,3.73,0.00853723
738,3.729,0.00847882
739,3.7279999999999998,0.00842041
740,3.727,0.008362
741,3.726,0.00830765
742,3.725,0.0082533
743,3.7239999999999998,0.00819895
744,3.723,0.0081446
745,3.722,0.00809025
746,3.721,0.0080359
747,3.72,0.00798155
748,3.719,0.0079272
749,3.718,0.00787285
750,3.717,0.0078185
751,3.7161,0.00775635
752,3.7152000000000003,0.007694200000000001
753,3.7143,0.0076320500000000005
754,3.7134,0.007569900000000001
755,3.7125000000000004,0.0075077500000000005
756,3.7116000000000002,0.0074456
757,3.7107,0.007383450000000001
758,3.7098,0.0073213
759,3.7089000000000003,0.007259150000000001
760,3.708,0.007197
761,3.7071,0.00715132
762,3.7062,0.00710564
763,3.7053000000000003,0.0070599600000000005
764,3.7044,0.00701428
765,3.7035,0.0069686
766,3.7026,0.00692292
767,3.7016999999999998,0.00687724
768,3.7008,0.00683156
769,3.6999,0.00678588
770,3.699,0.0067402
771,3.6982,0.00670551
772,3.6974,0.00667082
773,3.6965999999999997,0.0066361300000000005
774,3.6957999999999998,0.00660144
775,3.695,0.00656675
776,3.6942,0.00653206
777,3.6934,0.006497370000000001
778,3.6925999999999997,0.00646268
779,3.6917999999999997,0.00642799
780,3.691,0.0063933
781,3.6902,0.00633737
782,3.6894,0.00628144
783,3.6885999999999997,0.00622551
784,3.6877999999999997,0.00616958
785,3.687,0.00611365
786,3.6862,0.00605772
787,3.6854,0.00600179
788,3.6845999999999997,0.00594586
789,3.6837999999999997,0.00588993
790,3.683,0.005834
791,3.6822,0.00579173
792,3.6814,0.00574946
793,3.6805999999999996,0.00570719
794,3.6797999999999997,0.0056649199999999995
795,3.679,0.00562265
796,3.6782,0.00558038
797,3.6774,0.00553811
798,3.6765999999999996,0.00549584
799,3.6757999999999997,0.00545357
800,3.675,0.0054113
