wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
340,MLP,3.6808,2.6674,1.8251,0.5915,1.2339,0.2879,0.9876,0.0076
335,Linear Regression,1021.218,416.4028,31.0959,7.3662,20.299,3.7002,-2.7352,1.6776
335,Random Forest,5.2661,1.6551,2.2639,0.3755,1.355,0.1175,0.9811,0.0063
335,MLP,4.0093,2.2185,1.9066,0.6118,1.3817,0.4242,0.9861,0.0073
330,Linear Regression,1224.6488,729.6323,33.3555,10.5859,20.4814,4.382,-3.4444,2.73
330,Random Forest,4.6695,1.3909,2.1374,0.3177,1.3591,0.0763,0.9832,0.0055
330,MLP,5.0451,3.1786,2.1185,0.7463,1.4611,0.5366,0.9825,0.0106
325,Linear Regression,893.5773,503.9765,28.9453,7.4662,18.1726,2.8907,-2.2378,2.0219
325,Random Forest,5.271,1.1987,2.2815,0.256,1.4164,0.0801,0.9812,0.0048
325,MLP,2.5531,1.7923,1.5138,0.5112,1.0127,0.3162,0.9914,0.0052
320,Linear Regression,1022.0749,279.5554,31.6944,4.1883,20.2316,2.3236,-2.6861,1.253
320,Random Forest,4.9915,1.2732,2.2171,0.2761,1.3654,0.0676,0.9821,0.0051
320,MLP,3.5897,1.8837,1.8395,0.4538,1.2548,0.3065,0.9871,0.0076
315,Linear Regression,1036.0116,292.197,31.8843,4.4052,21.2682,2.8611,-2.7428,1.3093
315,Random Forest,5.8179,1.7421,2.3824,0.3768,1.4055,0.0822,0.979,0.0068
315,MLP,3.4946,1.9533,1.8028,0.4945,1.2413,0.4016,0.9875,0.0077
310,Linear Regression,1144.3719,390.0142,33.3038,5.9354,20.3069,3.8528,-3.1563,1.6368
310,Random Forest,5.4853,1.4201,2.32,0.3211,1.3522,0.0904,0.9803,0.0057
310,MLP,2.9754,1.0689,1.697,0.3091,1.1305,0.1378,0.9896,0.0033
305,Linear Regression,1808.9887,1214.8804,40.6114,12.6372,25.2119,6.9024,-5.6581,4.8517
305,Random Forest,4.2123,1.6084,2.0118,0.4063,1.2902,0.1454,0.9851,0.0058
305,MLP,5.3058,3.0131,2.1861,0.7258,1.4868,0.5263,0.9814,0.0111
300,Linear Regression,1412.575,392.5976,37.1699,5.5651,23.2208,3.7057,-4.1248,1.7253
300,Random Forest,4.0355,1.2096,1.9813,0.3319,1.3076,0.1724,0.9858,0.0042
300,MLP,3.5308,1.2632,1.8389,0.3864,1.2557,0.2208,0.9876,0.0046
295,Linear Regression,1197.2256,287.7589,34.3336,4.2928,21.4922,2.8498,-3.3218,1.2998
295,Random Forest,4.7868,1.6988,2.1518,0.3959,1.3446,0.1504,0.9829,0.0068
295,MLP,3.0734,1.216,1.7159,0.3593,1.2179,0.2229,0.9891,0.0046
290,Linear Regression,2319.7509,661.209,47.5951,7.3798,28.3974,3.6872,-7.3295,2.5232
290,Random Forest,4.4276,1.0277,2.0889,0.2536,1.3235,0.1298,0.9844,0.0035
290,MLP,2.4856,0.6142,1.5633,0.2044,1.0378,0.1249,0.9913,0.002
285,Linear Regression,2120.2898,904.0814,44.9921,9.798,27.4766,5.5498,-6.7653,3.7916
285,Random Forest,4.2744,1.2683,2.0421,0.323,1.3198,0.1466,0.9848,0.0047
285,MLP,4.0435,2.7199,1.8784,0.7177,1.2761,0.5378,0.9858,0.01
280,Linear Regression,1444.9067,383.384,37.6144,5.4833,23.8438,2.9118,-4.0863,1.242
280,Random Forest,4.6351,1.8369,2.1105,0.4255,1.3288,0.1345,0.9834,0.0073
280,MLP,4.8459,2.3465,2.1235,0.5802,1.4753,0.3789,0.9828,0.0085
275,Linear Regression,1572.8659,337.7517,39.4156,4.3907,25.2296,3.9398,-4.6621,1.5307
275,Random Forest,4.3117,1.3062,2.0519,0.3184,1.3208,0.1532,0.9847,0.0047
275,MLP,4.8133,2.8689,2.0932,0.6572,1.407,0.4876,0.9832,0.0098
270,Linear Regression,1813.1995,442.3466,42.2606,5.2195,27.0216,2.2871,-5.5546,2.0433
270,Random Forest,5.0267,1.6142,2.2135,0.3564,1.3738,0.1032,0.982,0.0061
270,MLP,4.2155,1.9538,1.9931,0.4931,1.401,0.3335,0.9854,0.0059
265,Linear Regression,2694.7264,622.6605,51.5795,5.855,30.1465,3.6465,-8.6796,2.8044
265,Random Forest,4.4253,1.3048,2.081,0.3079,1.3155,0.0878,0.9842,0.0049
265,MLP,4.0897,1.5907,1.9749,0.4354,1.4009,0.2674,0.9855,0.0058
260,Linear Regression,2069.4384,769.7601,44.6128,8.8958,28.3624,5.3201,-6.4069,3.0296
260,Random Forest,4.4886,0.7534,2.1108,0.1816,1.3354,0.0896,0.984,0.0032
260,MLP,4.3916,2.7428,2.0047,0.6107,1.4159,0.4452,0.9843,0.0107
255,Linear Regression,2641.5843,899.267,50.718,8.3227,29.8332,4.7224,-8.5073,3.7946
255,Random Forest,4.8304,1.2885,2.1784,0.2914,1.3243,0.0743,0.9826,0.0053
255,MLP,3.6231,2.5336,1.805,0.6043,1.2373,0.2746,0.9878,0.0073
250,Linear Regression,2480.7921,1037.6395,48.644,10.7028,25.9932,4.0414,-7.965,4.2488
250,Random Forest,4.9513,1.5732,2.1961,0.3583,1.3409,0.1085,0.9821,0.0063
250,MLP,3.9125,3.121,1.85,0.7001,1.2665,0.4469,0.9869,0.0091
