n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
31,155,Random Forest,19.0463,11.5206,4.1358,1.3932,2.639,0.6087,0.9457,0.0279
31,155,MLP,116.1247,182.5181,8.2585,6.9226,6.5724,5.7016,0.6931,0.4537
30,150,Linear Regression,237.8963,73.3607,15.2617,2.2307,11.4467,0.7681,0.2166,0.3426
30,150,Random Forest,14.4862,7.8316,3.6791,0.9749,2.5215,0.4474,0.9568,0.0156
30,150,MLP,30.3006,33.89,4.7979,2.6984,3.8006,2.1221,0.9015,0.111
29,145,Linear Regression,233.3368,40.1157,15.2193,1.3077,11.9633,0.8705,0.3335,0.0919
29,145,Random Forest,17.0425,8.5545,3.952,1.1933,2.8191,0.6762,0.9525,0.0216
29,145,MLP,39.2818,22.8086,5.8761,2.1801,4.4514,1.9011,0.8821,0.0779
28,140,Linear Regression,190.2899,48.2863,13.6856,1.7303,10.3735,1.1418,0.3861,0.2416
28,140,Random Forest,33.4292,33.4148,5.1424,2.643,3.5035,1.5194,0.8829,0.1396
28,140,MLP,66.6998,64.5915,7.2358,3.7872,5.6732,2.6915,0.749,0.2683
27,135,Linear Regression,233.7799,40.8999,15.226,1.3958,11.6236,1.2877,0.1802,0.2695
27,135,Random Forest,30.1703,24.303,4.9964,2.2817,3.1984,1.3539,0.8959,0.0955
27,135,MLP,24.4592,10.905,4.7844,1.2524,3.6216,1.1272,0.9143,0.044
26,130,Linear Regression,372.0485,144.7582,18.925,3.7276,13.5648,2.4656,-0.2147,0.6192
26,130,Random Forest,22.876,24.778,4.2394,2.2143,2.9623,1.4605,0.9335,0.0673
26,130,MLP,47.9891,79.7847,5.1342,4.6507,4.0842,3.9093,0.859,0.2305
25,125,Linear Regression,240.8091,27.1259,15.4944,0.8562,12.029,1.0812,0.122,0.1837
25,125,Random Forest,18.7772,6.0053,4.268,0.7492,2.9225,0.3681,0.932,0.0227
25,125,MLP,22.7266,20.917,4.2213,2.2152,3.3106,1.8038,0.9156,0.0787
24,120,Linear Regression,222.6262,39.4843,14.8631,1.3098,11.2442,1.1762,0.2072,0.208
24,120,Random Forest,13.8861,11.6393,3.4588,1.3866,2.5067,0.8538,0.9521,0.0362
24,120,MLP,126.8023,173.101,8.8472,6.9662,6.6322,5.0565,0.5743,0.5346
23,115,Linear Regression,266.2336,75.1563,16.1606,2.2514,12.3237,1.7729,0.0575,0.2635
23,115,Random Forest,24.3585,7.8746,4.8718,0.7903,3.2406,0.4619,0.9147,0.0287
23,115,MLP,159.4274,173.2334,10.9466,6.2928,8.4306,4.9204,0.3983,0.7041
22,110,Linear Regression,211.1499,49.6247,14.417,1.8169,11.3333,1.5202,0.2817,0.1323
22,110,Random Forest,37.4701,24.1492,5.8511,1.7985,3.7319,0.5066,0.8797,0.0591
22,110,MLP,43.369,42.1212,5.8337,3.0556,4.1892,2.2611,0.8543,0.147
21,105,Linear Regression,187.3917,28.8504,13.6493,1.0426,10.3751,0.6594,0.3384,0.126
21,105,Random Forest,25.3248,13.7122,4.8108,1.4767,3.4946,0.9968,0.9122,0.0448
21,105,MLP,137.0605,160.9371,9.8011,6.4031,7.8774,5.3404,0.5414,0.5127
20,100,Linear Regression,365.4419,141.8914,18.7812,3.5651,14.7849,2.8333,-0.1231,0.3816
20,100,Random Forest,44.9776,30.6309,6.3731,2.0885,4.3827,1.372,0.8705,0.0655
20,100,MLP,129.9163,127.4492,10.2402,5.0054,8.2035,4.2268,0.5767,0.4185
19,95,Linear Regression,365.307,183.6371,18.6239,4.2962,13.8874,2.638,-0.1919,0.6489
19,95,Random Forest,29.7441,20.0541,5.123,1.8707,3.6373,1.2592,0.9102,0.0547
