n_thicknesses,total_samples,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
30,150,MLP,34.204,38.9311,5.099,2.8643,4.1048,2.2736,0.8883,0.1276
29,145,Linear Regression,204.8545,43.3406,14.2354,1.4861,10.8206,1.0874,0.397,0.1975
29,145,Random Forest,16.2827,7.6109,3.8998,1.0367,2.8277,0.6348,0.9545,0.0192
29,145,MLP,43.5445,28.8464,6.0939,2.5317,4.7135,2.278,0.8698,0.0924
28,140,Linear Regression,681.3794,347.1912,25.1496,6.9911,17.6253,4.5464,-1.2258,1.3522
28,140,Random Forest,29.548,22.3775,5.0178,2.0903,3.3911,1.2954,0.9014,0.0918
28,140,MLP,64.3114,61.3539,7.186,3.5598,5.625,2.4482,0.7596,0.2558
27,135,Linear Regression,300.7206,206.7021,16.4907,5.3645,11.57,2.2233,-0.1127,0.9886
27,135,Random Forest,30.3378,23.8242,5.0048,2.3,3.3039,1.4925,0.898,0.0859
27,135,MLP,36.1892,38.1105,5.2291,2.9742,3.9512,2.5655,0.8572,0.1617
26,130,Linear Regression,453.8941,373.7287,19.887,7.642,13.6451,3.6583,-0.6427,1.7488
26,130,Random Forest,24.4477,27.3265,4.3349,2.3784,3.0529,1.5081,0.9296,0.0745
26,130,MLP,11.0796,6.9205,3.1975,0.925,2.4252,0.789,0.9662,0.0195
25,125,Linear Regression,298.0788,46.9834,17.2082,1.399,12.5485,1.9864,-0.0876,0.2599
25,125,Random Forest,24.1785,10.3054,4.7986,1.0733,3.2447,0.5372,0.9114,0.0419
25,125,MLP,19.506,17.0844,3.9827,1.909,3.1504,1.6562,0.9276,0.0645
24,120,Linear Regression,222.1527,69.4969,14.7447,2.1784,11.0921,1.7742,0.1931,0.3632
24,120,Random Forest,13.918,9.7662,3.5215,1.2318,2.5493,0.7622,0.9509,0.0325
24,120,MLP,124.6748,168.7637,8.8868,6.7602,6.6394,4.7991,0.5824,0.5213
23,115,Linear Regression,303.0269,96.4314,17.1829,2.7886,13.1826,2.1484,-0.0767,0.3417
23,115,Random Forest,25.6232,7.7466,5.0042,0.7621,3.3546,0.3556,0.9103,0.0275
23,115,MLP,158.2404,174.1409,10.7276,6.5695,8.3133,5.226,0.4027,0.7048
22,110,Linear Regression,307.4034,132.5116,17.1613,3.5906,12.3862,2.7471,-0.0659,0.4394
22,110,Random Forest,41.0017,30.0642,6.0387,2.1298,4.0561,0.8115,0.8702,0.0756
22,110,MLP,68.7938,54.0551,7.501,3.5396,5.455,2.8219,0.778,0.1691
21,105,Linear Regression,266.0628,84.6562,16.0998,2.6191,11.684,1.5445,0.0548,0.3407
21,105,Random Forest,25.9113,13.9639,4.8574,1.5221,3.616,1.1344,0.9102,0.0449
21,105,MLP,138.3475,159.643,9.9484,6.2751,7.9429,5.2554,0.5366,0.5082
20,100,Linear Regression,465.8009,236.3196,20.9397,5.2277,15.1453,3.2373,-0.5276,0.9802
