wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
455,MLP,3.4819,1.7777,1.8057,0.4705,1.197,0.4034,0.9879,0.0058
450,Linear Regression,1080.1558,561.1187,31.719,8.606,18.9477,3.4609,-2.8889,2.095
450,Random Forest,4.3364,0.8078,2.0734,0.1934,1.3678,0.0875,0.9846,0.0034
450,MLP,6.3601,5.3997,2.2861,1.0648,1.6025,0.8358,0.9788,0.0161
445,Linear Regression,1072.666,543.2423,31.733,8.1045,18.849,3.0687,-2.8372,1.9933
445,Random Forest,4.1413,0.8354,2.0247,0.2048,1.3406,0.1132,0.9853,0.0035
445,MLP,2.6026,0.9449,1.5822,0.3151,1.0438,0.1383,0.9909,0.003
440,Linear Regression,981.9522,392.5425,30.6996,6.2841,18.796,2.8059,-2.5506,1.5559
440,Random Forest,4.4257,0.9216,2.0933,0.2093,1.3721,0.0963,0.9842,0.004
440,MLP,2.5685,1.2653,1.5535,0.3938,1.0512,0.246,0.9909,0.0049
435,Linear Regression,1538.9821,415.8797,38.8497,5.4484,23.1023,3.5358,-4.5281,1.7078
435,Random Forest,4.3377,0.6649,2.077,0.1538,1.35,0.0835,0.9845,0.0032
435,MLP,3.1832,1.2754,1.7406,0.3917,1.1449,0.2704,0.9889,0.0039
430,Linear Regression,1107.6021,419.2195,32.7229,6.0674,20.5882,2.7399,-2.9544,1.5428
430,Random Forest,4.3817,0.6007,2.0886,0.1397,1.3412,0.0893,0.9844,0.003
430,MLP,2.4,0.9433,1.5156,0.3207,0.9198,0.1373,0.9916,0.0031
425,Linear Regression,1109.3431,434.6094,32.6013,6.819,20.7486,4.0321,-3.011,1.6599
425,Random Forest,4.2532,0.5654,2.0577,0.1379,1.3568,0.087,0.9849,0.0024
425,MLP,2.8856,1.3816,1.6323,0.4705,1.0661,0.2736,0.99,0.0047
420,Linear Regression,976.8988,441.1696,30.4792,6.9221,18.7842,3.0283,-2.4948,1.6596
420,Random Forest,4.2146,0.8722,2.0416,0.2158,1.3269,0.1093,0.9851,0.0035
420,MLP,2.891,1.0167,1.668,0.3298,1.0498,0.1603,0.9899,0.0035
415,Linear Regression,1358.0272,972.5339,34.8068,12.1042,20.5335,4.16,-3.8477,3.4047
415,Random Forest,4.1575,0.5502,2.0345,0.1348,1.3505,0.0972,0.9853,0.0023
415,MLP,2.781,1.6695,1.6043,0.4552,1.07,0.2779,0.9905,0.0048
410,Linear Regression,1331.4112,661.7427,35.5193,8.3542,19.8974,2.0738,-3.7472,2.3375
410,Random Forest,4.3185,0.4442,2.0753,0.1082,1.3822,0.0958,0.9847,0.0018
410,MLP,2.8194,1.0289,1.6361,0.3774,1.0368,0.2023,0.9902,0.0034
405,Linear Regression,1231.559,612.119,34.0772,8.3847,19.7967,2.6678,-3.3956,2.2291
405,Random Forest,4.4676,0.8817,2.1039,0.2034,1.3529,0.0814,0.9841,0.0039
405,MLP,4.433,1.9031,2.0266,0.5709,1.3973,0.3717,0.9844,0.007
400,Linear Regression,1239.8117,380.3279,34.7776,5.5074,21.5567,3.2694,-3.4794,1.5864
400,Random Forest,4.3045,0.8511,2.0653,0.1978,1.3728,0.1271,0.9846,0.0038
400,MLP,2.2635,1.106,1.4627,0.3524,0.971,0.1733,0.9922,0.0034
395,Linear Regression,1174.3299,256.5455,34.0516,3.8499,21.3091,2.1991,-3.2081,1.0746
395,Random Forest,4.4451,1.0719,2.0933,0.2517,1.3395,0.1235,0.9842,0.0044
395,MLP,2.673,1.4926,1.5698,0.4567,0.9922,0.2055,0.9905,0.0058
390,Linear Regression,1125.0716,294.1753,33.2672,4.2854,20.6919,1.9239,-3.0164,1.1519
390,Random Forest,4.1676,0.9066,2.0291,0.224,1.3171,0.1223,0.9852,0.0038
390,MLP,4.4089,4.143,1.9187,0.853,1.2829,0.5936,0.9854,0.0121
385,Linear Regression,1462.1556,455.2139,37.7821,5.8883,23.3538,2.9838,-4.236,1.7318
385,Random Forest,4.1807,0.6937,2.0374,0.1728,1.3311,0.1196,0.9852,0.0029
385,MLP,3.3549,2.2217,1.7486,0.5451,1.1624,0.3353,0.9887,0.0063
380,Linear Regression,1219.6169,407.0054,34.4036,6.0005,19.7006,3.2061,-3.3834,1.6201
380,Random Forest,4.3469,0.3964,2.0828,0.0946,1.3681,0.092,0.9846,0.0019
380,MLP,5.3996,3.6817,2.2117,0.7128,1.4971,0.4746,0.9817,0.0105
375,Linear Regression,1482.3491,880.9709,36.8552,11.1375,21.1105,3.2782,-4.2913,3.1775
375,Random Forest,3.9806,0.944,1.9809,0.238,1.3406,0.1188,0.9858,0.0038
375,MLP,2.2524,0.7568,1.4748,0.278,0.9762,0.1849,0.9921,0.0025
370,Linear Regression,1361.1615,635.1884,35.962,8.24,21.6528,2.6236,-3.8501,2.3022
370,Random Forest,4.1987,0.7628,2.0404,0.1881,1.3469,0.0961,0.9851,0.0032
370,MLP,2.2567,0.8983,1.4618,0.3462,0.9504,0.2023,0.9921,0.0031
365,Linear Regression,1343.4032,439.1401,36.1443,6.082,21.8497,2.9211,-3.8496,1.7886
365,Random Forest,4.4305,0.8457,2.0958,0.1949,1.3825,0.1074,0.9842,0.0038
365,MLP,3.7915,2.72,1.807,0.7256,1.2385,0.584,0.9868,0.0095
360,Linear Regression,1348.7604,481.792,36.0925,6.789,21.694,3.3204,-3.8594,1.8084
360,Random Forest,4.0846,0.2299,2.0202,0.0568,1.3343,0.0986,0.9855,0.0015
360,MLP,2.4369,0.8976,1.5222,0.3462,1.0162,0.217,0.9914,0.0033
355,Linear Regression,1778.5739,647.6991,41.4862,7.5808,24.1783,3.7754,-5.4199,2.6151
355,Random Forest,3.9891,0.5668,1.9919,0.1458,1.3348,0.0927,0.9859,0.0024
355,MLP,3.563,1.8044,1.8154,0.5169,1.1835,0.3437,0.9875,0.0065
350,Linear Regression,1311.9014,589.0524,35.2881,8.1641,22.0089,3.2491,-3.7377,2.248
350,Random Forest,4.1305,0.3665,2.0304,0.09,1.3628,0.1005,0.9853,0.002
350,MLP,2.3067,0.6693,1.5027,0.2201,0.9955,0.0782,0.9919,0.0019
345,Linear Regression,1068.7911,630.4891,31.4622,8.8837,18.6917,2.8715,-2.8052,2.2306
345,Random Forest,3.9647,0.8511,1.9789,0.2205,1.3183,0.0893,0.9859,0.0034
345,MLP,2.7001,1.4655,1.5794,0.4534,1.0707,0.2586,0.9906,0.0047
340,Linear Regression,1354.5102,488.6171,36.2088,6.5906,21.5371,2.4267,-3.8672,1.9173
340,Random Forest,3.9402,0.1717,1.9845,0.0433,1.2913,0.0941,0.986,0.0015
340,MLP,3.3913,2.1115,1.7653,0.5242,1.1731,0.3024,0.9885,0.006
335,Linear Regression,1994.3446,499.801,44.3208,5.4784,25.1512,1.9774,-6.1126,1.9597
335,Random Forest,3.9542,0.7928,1.978,0.2037,1.327,0.1055,0.986,0.0033
335,MLP,3.6904,2.1644,1.816,0.6266,1.3016,0.423,0.9872,0.0072
330,Linear Regression,1954.5796,755.0925,43.3749,8.5554,23.5598,4.3675,-6.0148,2.9134
330,Random Forest,4.0122,0.616,1.9973,0.1516,1.3598,0.0484,0.9857,0.0028
330,MLP,4.3602,2.4498,1.9943,0.6188,1.3465,0.4694,0.9849,0.008
325,Linear Regression,1508.4508,555.4088,38.2048,6.9889,22.1894,3.6951,-4.4036,2.186
325,Random Forest,3.9808,0.4769,1.9917,0.1179,1.3199,0.0777,0.9859,0.0017
325,MLP,2.9159,1.7801,1.6391,0.4788,1.0929,0.2372,0.99,0.0052
320,Linear Regression,1570.789,434.4894,39.2979,5.1444,23.8618,2.9325,-4.6393,1.89
320,Random Forest,4.0678,0.5527,2.0124,0.1349,1.3372,0.0757,0.9855,0.0027
320,MLP,2.493,1.2267,1.5239,0.4133,0.9909,0.2024,0.9911,0.0047
315,Linear Regression,1792.8608,580.0401,41.8011,6.7477,25.2951,2.4024,-5.3772,2.1828
315,Random Forest,4.3578,0.4732,2.0846,0.1109,1.3919,0.0915,0.9845,0.0024
