wavelengths,model,MSE_mean,MSE_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,R2_mean,R2_std
180,Random Forest,3.3154,0.8422,1.8059,0.2324,1.208,0.1298,0.9882,0.0034
180,MLP,4.0867,2.0413,1.9529,0.5225,1.3161,0.3295,0.9859,0.0063
175,Linear Regression,3783.4564,919.8776,61.0581,7.4408,25.4422,3.0286,-12.5188,3.9064
175,Random Forest,3.3371,1.0665,1.802,0.2995,1.1952,0.1055,0.9881,0.0043
175,MLP,3.5745,0.7316,1.8807,0.1936,1.3138,0.1061,0.9873,0.0029
170,Linear Regression,3888.9547,1486.7725,61.0477,12.733,27.0021,7.579,-12.9727,5.6061
170,Random Forest,2.9934,0.9519,1.7097,0.2655,1.1786,0.1279,0.9893,0.0039
170,MLP,3.6285,0.8507,1.889,0.2451,1.3243,0.1921,0.9871,0.0034
165,Linear Regression,4097.0601,2053.6194,61.9629,16.0516,26.1,6.5338,-13.3116,6.9907
165,Random Forest,3.2987,1.0295,1.7954,0.2744,1.2019,0.0737,0.9882,0.0043
165,MLP,2.4699,0.9812,1.5373,0.3263,1.0734,0.2011,0.9913,0.0037
160,Linear Regression,6290.3708,2896.7782,77.0738,18.7083,34.0614,11.1411,-22.1042,11.9137
160,Random Forest,2.9611,0.9482,1.6995,0.2701,1.1567,0.105,0.9894,0.0039
160,MLP,3.7369,1.8423,1.8835,0.435,1.3144,0.2591,0.9871,0.0052
155,Linear Regression,7236.3836,4061.6024,81.2801,25.0984,35.848,12.1544,-24.9659,14.7932
155,Random Forest,3.1149,0.6884,1.7543,0.1932,1.2002,0.0537,0.9889,0.0029
155,MLP,2.9327,1.0124,1.6883,0.287,1.1631,0.1429,0.9899,0.0027
150,Linear Regression,6269.4256,3598.8299,75.6148,23.4909,34.384,11.4099,-21.7096,12.9723
150,Random Forest,3.3851,0.8672,1.8234,0.2456,1.2455,0.1303,0.988,0.0034
150,MLP,2.9497,1.3507,1.6608,0.4375,1.1975,0.2735,0.9898,0.0042
145,Linear Regression,8030.363,3341.5868,86.6973,22.6701,35.3688,9.5103,-28.4052,13.2099
145,Random Forest,3.6151,1.5237,1.8634,0.378,1.248,0.1503,0.987,0.0062
145,MLP,3.7741,1.1802,1.9133,0.3369,1.3664,0.2489,0.9865,0.0047
140,Linear Regression,15139.7924,3442.516,122.1404,14.8831,48.9025,8.1292,-53.3037,13.8987
140,Random Forest,3.1329,0.9918,1.7489,0.2723,1.1818,0.0874,0.9888,0.0041
140,MLP,3.3319,1.5974,1.7738,0.4305,1.1788,0.27,0.9886,0.0046
135,Linear Regression,9388.6383,4980.6809,93.1096,26.8185,39.5427,9.1756,-32.3956,18.0278
135,Random Forest,2.8456,0.7517,1.6716,0.2263,1.1399,0.1021,0.9899,0.0029
135,MLP,3.3042,1.6008,1.7539,0.4774,1.1661,0.3098,0.9884,0.0058
130,Linear Regression,16506.8892,9514.2641,123.3024,36.1028,50.6247,17.3653,-57.2397,33.1116
130,Random Forest,3.411,1.1717,1.8228,0.2976,1.2304,0.1408,0.9878,0.0049
130,MLP,3.734,1.1253,1.9101,0.2923,1.3825,0.2255,0.9869,0.0035
125,Linear Regression,36795.7712,23767.772,178.6328,69.9005,64.3795,16.904,-133.575,89.6835
125,Random Forest,3.0752,0.5793,1.7458,0.1655,1.2136,0.0621,0.9891,0.0024
125,MLP,5.4635,2.9227,2.2481,0.6401,1.5647,0.4088,0.9808,0.0101
120,Linear Regression,57672.7233,36202.9543,230.3662,67.8538,79.0932,21.9773,-202.7842,125.9663
